Bessay,Auvergne,46.44293296,3.36057824
Bessèges,Languedoc-Roussillon,44.29680259,4.09279476
Bétaille,Midi-Pyrénées,44.94253697,1.73452934
Béthune,Nord Pas de Calais,50.52072046,2.64166658
Betton,Bretagne,48.18175499,-1.63412604
Beuvrages,Nord Pas de Calais,50.38960467,3.50661802
Beuvry (Pas-de-Calais),Nord Pas de Calais,50.5358209,2.69169707
Beynes,Ile de France,48.8596507,1.87575067
Beynost,Rhône-Alpes,45.83384804,5.00680219
Béziers,Languedoc-Roussillon,43.33626875,3.21899323
Biache-St-Vaast,Nord Pas de Calais,50.31663868,2.94200473
Biarritz,Aquitaine,43.45922234,-1.54548761
Bibliothèque-François-Mitterrand,Ile de France,48.82873841,2.37793606
Bièvres,Ile de France,48.75124224,2.21556337
Biffontaine,Lorraine,48.20581467,6.8067434
Bigny,Centre,46.80104399,2.36940528
Billy-Montigny,Nord Pas de Calais,50.41531389,2.91167499
Biot,Provence-Alpes-CA,43.61139095,7.12667468
Bischheim,Alsace,48.61124175,7.7412341
Bischoffsheim,Alsace,48.48680108,7.49781379
Bischwiller (Bas-Rhin),Alsace,48.76541375,7.8511634
Bitche,Lorraine,49.0484285,7.4325777
Bitschwiller (Haut-Rhin),Alsace,47.82815272,7.07818253
Blainville-Damelevières,Lorraine,48.564051,6.388269
Blaisy-Bas,Bourgogne,47.37324099,4.74137561
Blangy-sur-Bresle,Haute-Normandie,49.93301773,1.6248246
Blangy-sur-Ternoise,Nord Pas de Calais,50.42336392,2.16944446
Blanquefort,Aquitaine,44.91761445,-0.62354655
Blanzy,Bourgogne,46.70211161,4.40073188
Blanzy-Canal,Bourgogne,46.69399335,4.39221435
Blaye,Aquitaine,45.12794216,-0.66350871
Bléré-la-Croix,Centre,47.33809615,0.98632348
Blesme-Haussignemont,Champagne-Ardenne,48.72153924,4.7525919
Blois,Centre,47.58554547,1.32352802
Blonville-sur-Mer-Benerville,Basse-Normandie,49.33123481,0.03535661
Boën,Rhône-Alpes,45.7415989,4.00443774
Bogny-sur-Meuse,Champagne-Ardenne,49.85844683,4.76337775
Bohain,Picardie,49.98859073,3.44262623
Boigneville,Ile de France,48.34160737,2.37878546
Bois-Colombes,Ile de France,48.91373369,2.2719113
Bois-d'Oingt-Légny,Rhône-Alpes,45.9064932,4.5751731
Bois-le-Roi,Ile de France,48.47556449,2.69199082
Boisleux,Nord Pas de Calais,50.21064295,2.77110351
Boisseaux,Centre,48.25647357,1.97295706
Boisset (Cantal),Auvergne,44.78695979,2.25031693
Boissise-le-Roi,Ile de France,48.52941619,2.57305026
Boissy-l'Aillerie,Ile de France,49.07593491,2.02452277
Bolbec-Nointot,Haute-Normandie,49.59169965,0.48491802
Bollène-la-Croisière,Provence-Alpes-CA,44.27150655,4.70809629
Bollwiller,Alsace,47.85671228,7.2673105
Bologne,Champagne-Ardenne,48.19857602,5.13425623
Bolquère-Eyne,Languedoc-Roussillon,42.49777692,2.09188127
Bondy,Ile de France,48.89385431,2.47875507
Bonnard-Bassou,Bourgogne,47.92703438,3.54029981
Bonnemain,Bretagne,48.47709012,-1.76585824
Bonneval,Centre,48.18630035,1.38613091
Bonneville,Rhône-Alpes,46.07784525,6.41690978
